Player,Nation,Team,Position,Age,Playing Time: matches played,Playing Time: starts,Playing Time: minutes,Performance: goals,Performance: assists,Performance: yellow cards,Performance: red cards,Expected: xG,Expected: xAG,PrgC,PrgP,PrgR,Per 90 minutes: Gls,Per 90 minutes: Ast,Per 90 minutes: xG,Per 90 minutes: xAG,Goalkeeping: Performance: GA90,Goalkeeping: Performance: Save%,Goalkeeping: Performance: CS%,Goalkeeping: Penalty Kicks: Save%,Shooting: Standard: SoT%,Shooting: Standard: SoT/90,Shooting: Standard: G/Sh,Shooting: Standard: Dist,Passing: Total: Cmp,Passing: Total: Cmp%,Passing: Total: TotDist,Passing: Short: Cmp%,Passing: Medium: Cmp%,Passing: Long: Cmp%,Passing: Expected: KP,Passing: Expected: 1/3,Passing: Expected: PPA,Passing: Expected: CrsPA,Passing: Expected: PrgP,Goal and Shot Creation: SCA: SCA,Goal and Shot Creation: SCA: SCA90,Goal and Shot Creation: GCA: GCA,Goal and Shot Creation: GCA: GCA90,Defensive Actions: Tackles: Tkl,Defensive Actions: Tackles: TklW,Defensive Actions: Challenges: Att,Defensive Actions: Challenges: Lost,Defensive Actions: Blocks: Blocks,Defensive Actions: Blocks: Sh,Defensive Actions: Blocks: Pass,Defensive Actions: Blocks: Int,Possession: Touches: Touches,Possession: Touches: Def Pen,Possession: Touches: Def 3rd,Possession: Touches: Mid 3rd,Possession: Touches: Att 3rd,Possession: Touches: Att Pen,Possession: Take-Ons: Att,Possession: Take-Ons: Succ%,Possession: Take-Ons: Tkld%,Possession: Carries: Carries,Possession: Carries: PrgDist,Possession: Carries: 1/3,Possession: Carries: CPA,Possession: Carries: Mis,Possession: Carries: Dis,Miscellaneous: Performance: Fls,Miscellaneous: Performance: Fld,Miscellaneous: Performance: Off,Miscellaneous: Performance: Crs,Miscellaneous: Performance: Recov,Miscellaneous: Aerial Duels: Won,Miscellaneous: Aerial Duels: Lost,Miscellaneous: Aerial Duels: Won%,Team_TransferSite,TransferValueRaw,TransferValue
Aaron Ramsdale,eng ENG,Southampton,GK,26-345,25,25,"2,250",0,0,2,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,2.32,67.7,8.0,28.6,,0.0,,,675,65.3,14526,99.5,95.9,39.5,0,32,1,0,0,3,0.12,0,0.0,0,0,2,2,0,0,0,2,1111,803,1094,20,0,0,0,,,687,2044,0,0,2,0,1,4,0,0,18,4,0,100.0,N/a,N/a,
Aaron Wan-Bissaka,eng ENG,West Ham,DF,27-149,31,30,"2,704",2,2,1,0,1.0,2.7,93,118,131,0.07,0.07,0.03,0.09,N/a,N/a,N/a,N/a,30.8,0.13,0.15,15.5,1234,80.9,6513,89.7,82.1,47.9,27,85,27,11,118,75,2.5,5,0.17,61,43,26,7,31,9,22,57,1900,134,610,808,509,38,95,53.7,34.7,887,3193,54,12,28,20,22,23,4,61,153,22,28,44.0,N/a,N/a,
Abdoulaye Doucouré,ml MLI,Everton,MF,32-113,29,28,"2,335",3,1,5,1,3.7,2.3,38,74,88,0.12,0.04,0.14,0.09,N/a,N/a,N/a,N/a,32.1,0.35,0.11,13.9,657,79.8,2071,84.9,83.2,74.1,26,43,14,0,74,53,2.04,2,0.08,42,25,33,21,29,6,23,9,1055,31,213,481,376,56,41,56.1,43.9,559,1301,22,8,32,34,46,5,9,22,134,29,40,42.0,N/a,N/a,
Adam Armstrong,eng ENG,Southampton,"FW,MF",28-073,20,15,"1,248",2,2,4,0,3.3,1.2,25,21,79,0.14,0.14,0.24,0.09,N/a,N/a,N/a,N/a,28.0,0.5,0.08,16.6,231,80.2,446,87.3,85.3,46.2,9,10,8,2,21,19,1.37,4,0.29,12,3,14,11,6,1,5,3,377,11,44,143,192,49,14,42.9,57.1,235,599,13,6,11,18,12,5,9,14,23,5,9,35.7,N/a,N/a,
Adam Smith,eng ENG,Bournemouth,DF,33-360,21,16,"1,319",0,0,5,0,0.7,0.2,12,39,31,0.0,0.0,0.04,0.02,N/a,N/a,N/a,N/a,0.0,0.0,0.0,16.9,415,75.7,2196,87.7,78.8,35.3,6,39,6,3,39,17,1.16,1,0.07,20,10,23,12,10,3,7,14,671,34,205,316,154,6,15,40.0,40.0,293,577,15,0,10,6,13,10,0,28,40,12,12,50.0,N/a,N/a,
Adam Wharton,eng ENG,Crystal Palace,MF,20-326,19,15,"1,258",0,2,2,0,0.4,3.1,14,105,10,0.0,0.14,0.03,0.22,N/a,N/a,N/a,N/a,41.7,0.36,0.0,25.5,521,75.6,3632,82.1,80.6,65.0,25,73,18,5,105,56,4.01,6,0.43,34,14,43,26,10,2,8,18,827,27,196,439,199,10,10,20.0,80.0,412,1019,22,2,14,13,12,21,0,35,96,7,16,30.4,N/a,N/a,
Adama Traoré,es ESP,Fulham,"FW,MF",29-089,31,16,"1,523",2,5,2,0,3.8,4.1,81,57,139,0.12,0.3,0.22,0.24,N/a,N/a,N/a,N/a,31.4,0.65,0.06,14.3,368,71.7,1419,81.3,72.9,54.3,33,32,27,14,57,67,3.96,8,0.47,17,12,13,8,6,0,6,1,701,2,71,254,396,83,85,49.4,37.6,468,2119,40,32,30,19,20,29,1,84,75,24,25,49.0,N/a,N/a,
Alejandro Garnacho,ar ARG,Manchester Utd,"MF,FW",20-297,32,21,"1,966",5,1,2,0,6.2,3.5,130,50,260,0.23,0.05,0.28,0.16,N/a,N/a,N/a,N/a,37.0,1.24,0.07,16.9,579,79.3,1035,89.5,82.9,56.5,29,19,21,3,50,69,3.16,4,0.18,28,18,33,22,17,0,17,11,1033,13,118,329,603,152,82,29.3,62.2,748,2922,66,63,57,46,10,38,9,47,102,3,23,11.5,N/a,N/a,
Alex Iwobi,ng NGA,Fulham,"FW,MF",28-356,33,31,"2,636",9,5,1,0,4.3,6.4,128,185,214,0.31,0.17,0.15,0.22,N/a,N/a,N/a,N/a,45.0,0.92,0.15,18.5,995,74.5,5031,85.8,77.6,54.3,52,100,74,15,185,111,3.79,15,0.51,37,21,28,11,25,1,24,11,1631,31,222,660,774,103,83,50.6,44.6,1159,3894,94,37,54,38,16,16,4,109,122,5,29,14.7,N/a,N/a,
Alexander Isak,se SWE,Newcastle Utd,FW,25-215,30,30,"2,411",21,6,1,0,17.5,4.0,76,74,192,0.78,0.22,0.66,0.15,N/a,N/a,N/a,N/a,45.1,1.38,0.23,14.4,441,73.6,1440,82.5,77.4,62.9,38,32,23,1,74,83,3.1,14,0.52,12,5,12,7,18,2,16,3,896,19,52,337,521,166,85,49.4,49.4,541,1700,40,42,59,50,24,12,20,15,52,25,47,34.7,N/a,N/a,
