ScrapeOrder,Player,Nation_Internal,Position,Age,Team_Internal,Skill,Potential,ETV_Raw_Internal,ETV_Parsed
1,Erling Haaland,N/a,F (C),24,Man City,92.8,100.0,€199.6M,199.6
2,Martin Ødegaard,N/a,"M, AM (C)",26,Arsenal,89.2,92.9,€125.8M,125.8
3,Alexander Isak,N/a,F (C),25,Newcastle Utd.,82.0,84.9,€119.4M,119.4
4,Cole Palmer,N/a,M (C),22,Chelsea,80.1,92.5,€117.4M,117.4
5,Alexis Mac Allister,N/a,"M, DM, AM (C)",26,Liverpool,85.5,88.9,€117M,117.0
6,Declan Rice,N/a,M (C),26,Arsenal,83.7,86.6,€116.4M,116.4
7,Bukayo Saka,N/a,"F, M (R)",23,Arsenal,87.2,96.9,€113M,113.0
8,Phil Foden,N/a,"AM (R), M (C)",24,Man City,86.5,93.6,€99.8M,99.8
9,Rodri,N/a,"DM, M (C)",28,Man City,88.2,88.9,€87M,87.0
10,Ryan Gravenberch,N/a,"DM, M (C)",22,Liverpool,86.8,98.3,€85.5M,85.5
11,Moisés Caicedo,N/a,DM (C),23,Chelsea,81.1,91.9,€82.8M,82.8
12,Bruno Guimarães,N/a,"DM, M (C)",27,Newcastle Utd.,80.9,82.6,€82.3M,82.3
13,Morgan Rogers,N/a,M (CR),23,Aston Villa,69.2,78.4,€79.6M,79.6
14,William Saliba,N/a,D (C),24,Arsenal,88.9,96.7,€79.5M,79.5
15,Omar Marmoush,N/a,F (C),26,Man City,77.1,79.4,€79.1M,79.1
16,Joško Gvardiol,N/a,D (CL),23,Man City,79.4,91.0,€77.4M,77.4
17,Sávio,N/a,"F (R), M (RL)",21,Man City,77.8,91.6,€74.8M,74.8
18,Rúben Dias,N/a,D (C),27,Man City,86.4,86.4,€74.5M,74.5
19,Enzo Fernández,N/a,"M, DM (C)",24,Chelsea,75.1,82.7,€74.2M,74.2
20,Lucas Paquetá,N/a,"AM, M (C)",27,West Ham United,76.0,78.0,€73.5M,73.5
21,Archie Gray,N/a,"D (CR), DM (C)",19,Tottenham,71.0,89.0,€72.5M,72.5
22,Dominik Szoboszlai,N/a,"M (C), AM (L)",24,Liverpool,86.9,93.8,€70.5M,70.5
23,Kai Havertz,N/a,F (C),25,Arsenal,85.1,89.1,€70M,70.0
24,Luis Díaz,N/a,"F (CL), M (L)",28,Liverpool,86.5,86.5,€69.3M,69.3
25,Cody Gakpo,N/a,"F, M, AM (L)",25,Liverpool,86.3,89.3,€67.7M,67.7
26,Brennan Johnson,N/a,"F, M (R)",23,Tottenham,76.4,84.3,€67M,67.0
27,Nicolas Jackson,N/a,F (C),23,Chelsea,81.5,91.3,€66.9M,66.9
28,Gabriel Magalhães,N/a,D (C),27,Arsenal,84.8,86.5,€66.5M,66.5
29,Jérémy Doku,N/a,M (L),22,Man City,80.1,89.3,€66.5M,66.5
30,Leny Yoro,N/a,D (CR),19,Man Utd,70.5,88.1,€66.2M,66.2
31,Murillo,N/a,D (C),22,Nottingham,73.9,85.8,€66M,66.0
32,Amadou Onana,N/a,"DM, M (C)",23,Aston Villa,68.7,76.0,€64.4M,64.4
33,Ollie Watkins,N/a,F (C),29,Aston Villa,80.4,80.9,€63.2M,63.2
34,Mohammed Kudus,N/a,"F (R), M (CL)",24,West Ham United,73.1,79.0,€63M,63.0
35,Jurrien Timber,N/a,D (RL),23,Arsenal,75.2,84.6,€62.7M,62.7
36,Rico Lewis,N/a,D (R),20,Man City,75.0,88.9,€62.7M,62.7
37,Matheus Cunha,N/a,F (C),25,Wolverhampton,80.9,83.2,€62.6M,62.6
38,Eberechi Eze,N/a,"AM, M (C), F (L)",26,C. Palace,74.9,75.8,€62.2M,62.2
39,Micky van de Ven,N/a,D (CL),24,Tottenham,71.1,79.1,€62M,62.0
40,Morgan Gibbs-White,N/a,"M, AM (C)",25,Nottingham,77.1,80.0,€61.7M,61.7
41,Milos Kerkez,N/a,D (L),21,B'mouth,75.7,91.1,€61.6M,61.6
42,Curtis Jones,N/a,"M, DM (C)",24,Liverpool,77.9,84.0,€61.6M,61.6
43,João Pedro,N/a,"F, M, AM (C)",23,Brighton,71.0,78.5,€61.3M,61.3
44,Bruno Fernandes,N/a,"AM, M (C)",30,Man Utd,79.8,79.9,€61.2M,61.2
45,Pedro Neto,N/a,"F, M (R)",25,Chelsea,70.6,75.9,€60.4M,60.4
46,Manuel Ugarte,N/a,"DM, M (C)",24,Man Utd,72.5,79.6,€60.3M,60.3
47,Dejan Kulusevski,N/a,"AM, M (C)",25,Tottenham,86.7,91.7,€60.3M,60.3
48,Rasmus Winther Højlund,N/a,F (C),22,Man Utd,77.1,87.8,€60M,60.0
49,Gabriel Martinelli,N/a,"F, AM (L)",23,Arsenal,87.7,96.4,€60M,60.0
50,Cristian Romero,N/a,D (C),27,Tottenham,72.6,74.8,€60M,60.0
51,Ben White,N/a,D (R),27,Arsenal,83.1,84.9,€59.9M,59.9
